method,male_cutoff_hz,female_cutoff_hz,male_si_sdr_db,female_si_sdr_db,avg_si_sdr_db,min_si_sdr_db,male_snr_db,female_snr_db,male_corr,female_corr,avg_corr,male_spectral_l1,female_spectral_l1,reconstruction_error,balanced_score
Butterworth,900.0,1300.0,0.8746472129214155,-6.027748121106018,-2.5765504540923017,-6.027748121106018,2.8944907817183427,0.9168516932019282,0.7417406890691861,0.44691921003788004,0.594329949553533,nan,nan,0.17150763847839143,-4.7447798924950275
Butterworth,1250.0,1400.0,1.1189120954285767,-6.384788276478276,-2.6329380905248496,-6.384788276478276,2.9142968472452346,0.8423392193141666,0.75103650047833,0.4323419219948575,0.5916892112365938,nan,nan,0.05790557989786759,-4.757764966086535
Butterworth,650.0,1250.0,1.033408859082625,-5.882182324044294,-2.4243867324808344,-5.882182324044294,3.2626587984970317,0.9497370818840387,0.7478025735595151,0.4529329775681296,0.6003677755638224,nan,nan,0.31029340953563955,-4.785329162446615
Butterworth,1200.0,1400.0,1.1174682889944023,-6.384788276478276,-2.633659993741937,-6.384788276478276,2.927770067275372,0.8423392193141666,0.7509820738325408,0.4323419219948575,0.5916619979136991,nan,nan,0.07700562664975497,-4.796741389453187
Butterworth,1000.0,1350.0,0.9850208582244385,-6.196447181004769,-2.6057131613901654,-6.196447181004769,2.9152658060467793,0.880806178560508,0.7459628184880208,0.44000018299013616,0.5929815007390785,nan,nan,0.14062116557605525,-4.799216081566504
Butterworth,850.0,1300.0,0.8546389815117222,-6.027748121106018,-2.586554569797148,-6.027748121106018,2.9157078505843255,0.9168516932019282,0.7409715394020552,0.44691921003788004,0.5939453747199677,nan,nan,0.19397813125523305,-4.800494143420687
Butterworth,600.0,1250.0,1.1399825854541727,-5.882182324044294,-2.3710998692950604,-5.882182324044294,3.427581850960247,0.9497370818840387,0.7518300738151249,0.4529329775681296,0.6023815256916273,nan,nan,0.3517344729534113,-4.810896925840774
Butterworth,800.0,1300.0,0.8770437141142815,-6.027748121106018,-2.5753522034958687,-6.027748121106018,2.973529339629064,0.9168516932019282,0.7418327374065814,0.44691921003788004,0.5943759737222307,nan,nan,0.21844653488523652,-4.83736738637489
Butterworth,1150.0,1400.0,1.104330534406345,-6.384788276478276,-2.6402288710359656,-6.384788276478276,2.934923931305802,0.8423392193141666,0.7504865372135556,0.4323419219948575,0.5914142296042065,nan,nan,0.09572690746511063,-4.841248364996911
Butterworth,750.0,1300.0,0.9280517203757344,-6.027748121106018,-2.549848200365142,-6.027748121106018,3.058759962521724,0.9168516932019282,0.7437879956691509,0.44691921003788004,0.5953536028535155,nan,nan,0.24772697175707212,-4.868468998725265
Butterworth,950.0,1350.0,0.9252372478621034,-6.196447181004769,-2.635604966571333,-6.196447181004769,2.8998966564318795,0.880806178560508,0.7436803066474288,0.44000018299013616,0.5918402448187825,nan,nan,0.16251044758093006,-4.875168962598013
Butterworth,1100.0,1400.0,1.0783652848124894,-6.384788276478276,-2.6532114958328936,-6.384788276478276,2.9354980505374364,0.8423392193141666,0.7495056463710354,0.4323419219948575,0.5909237841829464,nan,nan,0.11455151244570891,-4.892861090597557
Butterworth,700.0,1300.0,0.9804949609694873,-6.027748121106018,-2.5236265800682656,-6.027748121106018,3.153645726888363,0.9168516932019282,0.7457903874061279,0.44691921003788004,0.5963547987220039,nan,nan,0.2816733069421509,-4.908137657061569
Butterworth,900.0,1350.0,0.8746472129214155,-6.196447181004769,-2.660899984041677,-6.196447181004769,2.8944907817183427,0.880806178560508,0.7417406890691861,0.44000018299013616,0.5908704360296612,nan,nan,0.1840578077065583,-4.945498317897856
Butterworth,1350.0,1450.0,1.0918579014791656,-6.5900881911126845,-2.7491151448167592,-6.5900881911126845,2.8696781287397073,0.8019369154931164,0.7500156093879496,0.4240768550451735,0.5870462322165616,nan,nan,0.037755103712619156,-4.945576983365217
Butterworth,650.0,1300.0,1.033408859082625,-6.027748121106018,-2.4971696310116966,-6.027748121106018,3.2626587984970317,0.9168516932019282,0.7478025735595151,0.44691921003788004,0.5973608917986976,nan,nan,0.31820096423970007,-4.952723836446711
Butterworth,1050.0,1400.0,1.0383221238613074,-6.384788276478276,-2.6732330763084846,-6.384788276478276,2.9287769274046154,0.8423392193141666,0.7479889935909808,0.4323419219948575,0.5901654577929192,nan,nan,0.13410933109310735,-4.953514961147999
